Note: modified from pivot table because a few bands existed under both P and 1+ categories. P is retained,,,,,,,,,,CURRENT VERSION: 12/07/2025,,,,,,,
Age,Band,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P,162-87333,,,,,,,,,,1,,,,,,
P,162-87334,,,,,,,,,,1,,,,,,
P,162-87335,,,,,,,,,,1,,,,,,
P,162-87336,,,,,,,,,,1,,,,,,
P,162-87337,,,,,,,,,,1,,,,,,
P,162-87338,,,,,,,,,,1,,,,,,
P,162-87339,,,,,,,,,,1,,,,,,
P,162-87340,,,,,,,,,,1,,,,,,
P,162-87341,,,,,,,,,,1,,,,,,
P,162-87342,,,,,,,,,,1,,,,,,
P,162-87343,,,,,,,,,,1,,,,,,
P,162-87344,,,,,,,,,,1,,,,,,
P,162-87345,,,,,,,,,,1,,,,,,
P,162-87346,,,,,,,,,,1,,,,,,
P,162-87347,,,,,,,,,,1,,,,,,
P,162-87348,,,,,,,,,,1,,,,,,
P,162-87349,,,,,,,,,,1,,,,,,
P,162-87350,,,,,,,,,,1,,,,,,
P,162-87351,,,,,,,,,,1,,,,,,
P,162-87352,,,,,,,,,,1,,,,,,
P,162-87353,,,,,,,,,,1,,,,,,
P,162-87354,,,,,,,,,,1,,,,,,
P,162-87355,,,,,,,,,,1,,,,,,
P,162-87356,,,,,,,,,,1,,,,,,
P,162-87357,,,,,,,,,,1,,,,,,
P,162-87358,,,,,,,,,,1,,,,,,
P,162-87359,,,,,,,,,,1,,,,,,
P,162-87360,,,,,,,,,,1,,,,,,
P,162-87361,,,,,,,,,,1,,,,,,
P,162-87362,,,,,,,,,,1,,,,,,
P,162-87363,,,,,,,,,,1,,,,,,
P,162-87364,,,,,,,,,,1,,,,,,
P,162-87365,,,,,,,,,,1,,,,,,
P,162-87366,,,,,,,,,,1,,,,,,
P,162-87367,,,,,,,,,,1,,,,,,
P,162-87368,,,,,,,,,,1,,,,,,
P,162-87369,,,,,,,,,,1,,,,,,
P,162-87370,,,,,,,,,,1,,,,,,
P,162-87371,,,,,,,,,,1,,,,,,
P,162-87372,,,,,,,,,,1,,,,,,
P,162-87373,,,,,,,,,,1,,,,,,
P,162-87374,,,,,,,,,,1,,,,,,
